pertanyaan,jawaban
"apa itu energi kinetik?","energi karena gerak"
"apa itu energi potensial?","energi karena posisi benda"
"apa itu air mendidih pada suhu?","100 derajat Celsius"
"apa itu air membeku pada suhu?","0 derajat Celsius"
"apa itu cuaca?","keadaan udara pada waktu tertentu"
"apa itu iklim?","pola cuaca dalam jangka panjang"
"apa itu musim hujan terjadi karena?","angin barat membawa uap air"
"apa itu musim kemarau terjadi karena?","angin timur yang kering"
"apa itu pelestarian alam?","usaha menjaga kelestarian lingkungan"
"apa itu pemanasan global?","kenaikan suhu bumi akibat efek rumah kaca"
"apa itu efek rumah kaca?","perangkap panas oleh gas di atmosfer"
"apa itu daur ulang plastik?","mengolah ulang plastik bekas menjadi barang baru"
"apa itu energi surya digunakan untuk?","menghasilkan listrik dan panas"
"apa itu energi angin digunakan untuk?","menggerakkan turbin pembangkit listrik"
"apa itu energi air digunakan untuk?","menggerakkan turbin di PLTA"
"apa itu sumber daya alam?","segala sesuatu dari alam yang bisa dimanfaatkan"
"apa itu sumber daya alam terbarukan?","bisa diperbarui seperti air dan angin"
"apa itu sumber daya alam tak terbarukan?","tidak bisa diperbarui seperti minyak bumi"
"apa itu batu bara digunakan untuk?","bahan bakar pembangkit listrik"
"apa itu minyak bumi diolah menjadi?","bensin, solar, dan avtur"
"apa itu logam mulia?","logam berharga seperti emas dan perak"
"apa itu kompas digunakan untuk?","menunjukkan arah utara"
"apa itu peta?","gambaran permukaan bumi di atas bidang datar"
"apa itu gunung api aktif?","gunung yang masih dapat meletus"
"apa itu lembah?","daerah rendah di antara dua bukit atau gunung"
"apa itu gurun?","daerah tandus dan kering"
"apa itu samudra?","perairan luas yang membatasi benua"
"apa itu danau?","genangan air besar di daratan"
"apa itu sungai?","aliran air dari hulu ke hilir"
"apa itu air tanah?","air yang tersimpan di bawah permukaan bumi"
"Kenapa kucing suka tidur lama?","Karena mereka butuh energi untuk berburu"
"Buah apa yang tidak pernah sedih?","Buah hati"
"Apa kepanjangan dari LED?","Light Emitting Diode"
"Di mana letak Menara Pisa?","Italia"
"Apa warna khas labu Halloween?","Oranye"
"Siapa pencipta karakter Mickey Mouse?","Walt Disney"
"Apa makanan favorit kelinci?","Wortel"
"Siapa yang menemukan internet?","Tim Berners-Lee"
"Berapa gigi manusia dewasa?","32"
"Hewan apa yang punya leher paling panjang?","Jerapah"
"Apa yang selalu datang tapi tak pernah terlihat?","Masa depan"
"Negara mana yang dikenal sebagai Negeri Sakura?","Jepang"
"Kenapa hujan turun dari langit?","Karena uap air mengembun dan jatuh sebagai air"
"Apa fungsi tulang rusuk?","Melindungi organ vital"
"Kenapa es mencair?","Karena suhu meningkat"
"Apa warna dasar daun muda?","Hijau muda"
"Siapa tokoh utama film Toy Story?","Woody"
"Apa bahan dasar kaca?","Pasir silika"
"Kenapa matahari terlihat kuning?","Karena atmosfer bumi menyaring cahaya"
"Apa nama ibukota Thailand?","Bangkok"
"Apa hewan terbesar di dunia?","Paus biru"
"Kenapa kita menguap?","Karena tubuh kekurangan oksigen atau mengantuk"
"Siapa penemu lampu bohlam?","Thomas Alva Edison"
"Planet apa yang dikenal sebagai planet merah?","Mars"
"Kenapa api panas?","Karena hasil reaksi pembakaran menghasilkan energi panas"
"Apa makanan khas Italia yang berbentuk pipih bundar?","Pizza"
"Siapa dewa langit dalam mitologi Romawi?","Jupiter"
"Kenapa daun berubah warna di musim gugur?","Karena klorofil berkurang"
"Apa nama alat untuk mengukur tekanan udara?","Barometer"
"Binatang apa yang disebut sahabat manusia?","Anjing"
"Apa ibukota Korea Selatan?","Seoul"
"Apa nama gunung tertinggi di Indonesia?","Puncak Jaya (Carstensz)"
"Kenapa langit malam gelap?","Karena tidak ada cahaya matahari"
"Siapa tokoh utama di film Iron Man?","Tony Stark"
"Apa warna bendera Indonesia?","Merah dan putih"
"Apa makanan pokok di Jepang?","Nasi"
"Apa yang bisa ditulis tapi tak bisa dibaca?","Tulisan dokter"
"Kenapa ikan tidak tenggelam?","Karena memiliki gelembung udara"
"Siapa ilmuwan dengan teori evolusi?","Charles Darwin"
"Apa nama burung nasional Indonesia?","Garuda"
"Kenapa petir muncul?","Karena perbedaan muatan listrik di awan"
"Siapa pelukis 'Starry Night'?","Vincent van Gogh"
"Apa alat untuk memotong rumput?","Mesin pemotong rumput"
"Apa yang tidak punya kaki tapi bisa berlari?","Air"
"Kenapa manusia butuh tidur?","Untuk memulihkan energi dan memperbaiki sel tubuh"
"Apa kepanjangan dari PIN?","Personal Identification Number"
"Siapa pencipta karakter Doraemon?","Fujiko F. Fujio"
"Kenapa bunga mekar di siang hari?","Karena mendapat sinar matahari"
"Buah apa yang selalu diingat?","Pepaya (pe-peya)"
"Apa bahasa resmi di Amerika Serikat?","Tidak ada bahasa resmi, tapi Inggris paling umum"
"Kenapa bulan tampak bersinar?","Karena memantulkan cahaya matahari"
"Apa nama laut terbesar di dunia?","Samudra Pasifik"
"Kenapa kita berkedip?","Untuk melembabkan dan melindungi mata"
"Apa nama planet terbesar di tata surya?","Jupiter"
"Kenapa air laut asin?","Karena mengandung mineral dan garam"
"Siapa yang dikenal sebagai Bapak Internet?","Vint Cerf"
"Apa yang bisa terbang tapi bukan burung?","Pesawat"
"Kenapa langit berubah warna saat senja?","Karena pembiasan cahaya matahari"
"Apa ibukota Mesir?","Kairo"
"Kenapa kucing suka mengejar benang?","Karena naluri berburu mereka"
"Apa nama sungai terpanjang di dunia?","Sungai Nil"
"Kenapa lebah menghasilkan madu?","Sebagai cadangan makanan"
"Siapa presiden pertama Amerika Serikat?","George Washington"
"Apa nama alat untuk menimbang berat?","Timbangan"
"Kenapa daun jatuh dari pohon?","Karena proses alami pohon menggugurkan daun"
"Buah apa yang bisa menyala di malam hari?","Buah lampu (candaan)"
"Siapa ilmuwan yang menemukan radioaktivitas?","Marie Curie"
"Kenapa air mendidih pada suhu 100°C?","Karena tekanan udara di permukaan laut"
"Apa fungsi akar pada tumbuhan?","Menyerap air dan mineral"
"Siapa penulis 'Romeo dan Juliet'?","William Shakespeare"
"Kenapa langit terlihat biru?","Karena hamburan cahaya oleh atmosfer"
"Apa nama benua terkecil di dunia?","Australia"
"Kenapa kita merinding?","Karena reaksi tubuh terhadap suhu atau emosi"
"Apa nama benua paling dingin?","Antartika"
"Apa hewan tercepat di laut?","Ikan layar"
"Kenapa kita berkeringat?","Untuk menurunkan suhu tubuh"
"Apa makanan khas Sunda?","Nasi liwet"
"Siapa yang menciptakan mobil pertama di dunia?","Karl Benz"
"Apa alat yang digunakan untuk melihat benda kecil?","Mikroskop"
"Kenapa air hujan terasa segar?","Karena mengandung oksigen lebih tinggi"
"Apa nama bunga nasional Jepang?","Sakura"
"Siapa yang dikenal sebagai ilmuwan fisika jenius?","Albert Einstein"
"Apa warna khas bendera Prancis?","Biru, putih, merah"
"Kenapa kita bersin?","Untuk membersihkan saluran pernapasan"
"Apa nama pulau terbesar di dunia?","Greenland"
"Kenapa bumi berputar?","Karena momentum sejak pembentukannya"
"Apa nama alat untuk mengetik?","Keyboard"
"Siapa pencipta YouTube?","Steve Chen, Chad Hurley, dan Jawed Karim"
"Apa makanan khas Turki yang terbuat dari daging?","Kebab"
"Kenapa manusia punya sidik jari unik?","Karena faktor genetik acak"
"Apa nama permainan tradisional Indonesia yang menggunakan karet gelang?","Bekel"
"Kenapa batu bisa tenggelam di air?","Karena massa jenisnya lebih besar dari air"
"Apa hewan yang bisa hidup tanpa air lama?","Unta"
"Kenapa air laut berwarna biru?","Karena menyerap warna merah dari cahaya matahari"
"Siapa tokoh utama film Avengers?","Captain America"
"Apa nama alat untuk mengukur waktu?","Jam"
"Kenapa pohon penting bagi manusia?","Menghasilkan oksigen"
"Apa alat musik khas Minangkabau?","Saluang"
"Kenapa gigi bisa berlubang?","Karena bakteri dan gula menumpuk"
"Apa nama hewan laut dengan delapan lengan?","Gurita"
"Kenapa daun berwarna hijau?","Karena mengandung klorofil"
"Siapa penemu teori relativitas?","Albert Einstein"
"Apa nama gunung berapi aktif di Jawa Timur?","Gunung Bromo"
"Kenapa kita butuh makan?","Untuk mendapatkan energi"
"Apa makanan khas Betawi dari ketupat?","Ketupat sayur"
"Kenapa air laut tidak bisa diminum?","Karena kadar garamnya tinggi"
"Siapa penemu teori gravitasi?","Isaac Newton"
"Apa ibukota Kanada?","Ottawa"
"Kenapa kita melihat pelangi setelah hujan?","Karena pembiasan cahaya di tetes air"
"Apa nama alat untuk menggambar lingkaran?","Jangka"
"Siapa penulis 'Laskar Pelangi'?","Andrea Hirata"
"Kenapa udara terasa segar di pagi hari?","Karena kadar oksigen lebih tinggi"
"Apa nama logam paling ringan?","Litium"
"Kenapa kucing suka dijemur matahari pagi?","Untuk menghangatkan tubuhnya"
"Apa nama minuman khas Indonesia dari jahe?","Wedang jahe"
"Kenapa kita punya dua mata?","Untuk penglihatan tiga dimensi"
"Apa hewan yang bisa berjalan mundur dan maju dengan mudah?","Kepiting"
"Kenapa gunung berapi bisa meletus?","Karena tekanan magma di dalam bumi meningkat"
"Apa ibukota Jerman?","Berlin"
"Kenapa suara bisa bergema?","Karena pantulan gelombang suara"
"Apa nama planet kedua dari Matahari?","Venus"
"Kenapa malam terasa lebih sejuk?","Karena sinar matahari tidak ada"
"Apa alat untuk meniup udara ke api?","Bellow"
"Kenapa bumi mengelilingi matahari?","Karena gravitasi matahari"
"Apa makanan khas Makassar?","Coto Makassar"
"Siapa pencipta lagu 'Heal The World'?","Michael Jackson"
"Kenapa lebah penting bagi ekosistem?","Membantu penyerbukan tanaman"
"apa itu teknologi?","teknologi adalah penerapan ilmu pengetahuan untuk mempermudah pekerjaan manusia"
"apa itu AI?","AI adalah singkatan dari Artificial Intelligence atau kecerdasan buatan"
"siapa penemu komputer?","Charles Babbage dianggap sebagai penemu komputer modern"
"apa fungsi AI?","AI berfungsi untuk meniru kecerdasan manusia dan memecahkan masalah secara otomatis"
"apa itu machine learning?","machine learning adalah cabang AI yang membuat sistem bisa belajar dari data"
"apa itu deep learning?","deep learning adalah metode pembelajaran mesin yang meniru cara kerja otak manusia"
"apa itu neural network?","neural network adalah jaringan buatan yang digunakan untuk mengenali pola dalam data"
"apa itu big data?","big data adalah kumpulan data berukuran sangat besar dan kompleks"
"apa itu data?","data adalah informasi mentah yang bisa diolah menjadi pengetahuan"
"apa itu dataset?","dataset adalah kumpulan data yang digunakan untuk melatih atau menguji model AI"
"apa itu coding?","coding adalah proses menulis perintah untuk komputer menggunakan bahasa pemrograman"
"apa itu bahasa pemrograman?","bahasa pemrograman adalah bahasa yang digunakan untuk memberi instruksi ke komputer"
"contoh bahasa pemrograman?","contohnya Python, Java, C++, JavaScript, dan Go"
"apa itu Python?","Python adalah bahasa pemrograman populer yang mudah dipelajari dan serbaguna"
"apa itu Java?","Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi besar"
"apa itu C++?","C++ adalah bahasa pemrograman cepat dan kuat untuk sistem dan game"
"apa itu JavaScript?","JavaScript digunakan untuk membuat website interaktif"
"apa itu HTML?","HTML adalah bahasa dasar untuk membuat struktur halaman web"
"apa itu CSS?","CSS digunakan untuk mengatur tampilan dan desain halaman web"
"apa itu database?","database adalah tempat penyimpanan data yang terorganisir"
"apa itu SQL?","SQL adalah bahasa untuk mengelola data di dalam database"
"apa itu API?","API adalah cara aplikasi saling berkomunikasi dan bertukar data"
"apa itu framework?","framework adalah kerangka kerja siap pakai untuk mempercepat pengembangan program"
"apa itu library?","library adalah kumpulan kode siap pakai untuk tugas tertentu"
"apa itu compiler?","compiler adalah program yang mengubah kode sumber jadi kode mesin"
"apa itu IDE?","IDE adalah software untuk menulis, menguji, dan menjalankan program"
"apa itu debugging?","debugging adalah proses mencari dan memperbaiki kesalahan dalam program"
"apa itu bug?","bug adalah kesalahan dalam program yang menyebabkan hasil tidak sesuai"
"apa itu version control?","version control adalah sistem untuk mengatur versi kode, seperti Git"
"apa itu GitHub?","GitHub adalah platform untuk menyimpan dan berbagi kode secara online"
"apa itu open source?","open source berarti kode programnya terbuka dan bisa digunakan siapa saja"
"apa itu closed source?","closed source berarti kode programnya tidak dibuka ke publik"
"apa itu operating system?","operating system adalah sistem utama yang mengatur perangkat komputer"
"contoh OS?","contohnya Windows, Linux, macOS, Android, dan iOS"
"apa itu Linux?","Linux adalah sistem operasi open source yang kuat dan banyak dipakai server"
"apa itu kernel?","kernel adalah inti dari sistem operasi yang mengatur komunikasi antara hardware dan software"
"apa itu BIOS?","BIOS adalah sistem dasar yang menginisialisasi perangkat keras saat komputer dinyalakan"
"apa itu cloud computing?","cloud computing adalah teknologi untuk menyimpan dan mengelola data melalui internet"
"apa itu internet?","internet adalah jaringan global yang menghubungkan jutaan komputer di seluruh dunia"
"apa itu IP address?","IP address adalah alamat unik untuk setiap perangkat di jaringan"
"apa itu domain?","domain adalah nama unik untuk mengakses website di internet"
"apa itu hosting?","hosting adalah layanan penyimpanan file website agar bisa diakses online"
"apa itu DNS?","DNS adalah sistem yang menerjemahkan nama domain menjadi IP address"
"apa itu router?","router adalah perangkat yang menghubungkan jaringan dan mengatur lalu lintas data"
"apa itu firewall?","firewall adalah sistem keamanan jaringan yang menyaring data masuk dan keluar"
"apa itu antivirus?","antivirus adalah program untuk melindungi komputer dari virus dan malware"
"apa itu malware?","malware adalah perangkat lunak berbahaya yang dapat merusak sistem"
"apa itu ransomware?","ransomware adalah malware yang mengunci data dan meminta tebusan"
"apa itu phishing?","phishing adalah upaya mencuri data dengan cara menipu pengguna"
"apa itu AI generatif?","AI generatif adalah AI yang bisa membuat konten baru seperti teks, gambar, dan musik"
"apa itu ChatGPT?","ChatGPT adalah model AI percakapan yang bisa memahami dan menjawab pertanyaan manusia"
"apa itu OpenAI?","OpenAI adalah perusahaan yang mengembangkan ChatGPT dan model GPT"
"apa itu GPT?","GPT adalah singkatan dari Generative Pre-trained Transformer"
"apa itu token?","token adalah potongan kecil dari teks yang digunakan AI untuk memahami konteks"
"apa itu training data?","training data adalah data yang digunakan untuk melatih model AI"
"apa itu testing data?","testing data digunakan untuk menguji hasil dari model AI yang sudah dilatih"
"apa itu accuracy dalam AI?","accuracy menunjukkan seberapa akurat hasil prediksi model AI"
"apa itu overfitting?","overfitting terjadi ketika model terlalu menyesuaikan diri dengan data training"
"apa itu underfitting?","underfitting terjadi ketika model gagal memahami pola data dengan baik"
"apa itu epoch?","epoch adalah satu siklus pelatihan penuh pada dataset"
"apa itu loss function?","loss function mengukur seberapa jauh prediksi model dari hasil sebenarnya"
"apa itu optimizer?","optimizer adalah algoritma untuk memperbaiki kinerja model selama training"
"apa itu parameter dalam model AI?","parameter adalah nilai-nilai yang dipelajari AI selama proses training"
"apa itu inference?","inference adalah proses AI menghasilkan jawaban dari input baru"
"apa itu reinforcement learning?","reinforcement learning adalah metode AI yang belajar dari hadiah dan hukuman"
"apa itu supervised learning?","supervised learning menggunakan data berlabel untuk melatih AI"
"apa itu unsupervised learning?","unsupervised learning mencari pola dari data tanpa label"
"apa itu semi-supervised learning?","semi-supervised learning menggabungkan data berlabel dan tidak berlabel"
"apa itu bias dalam AI?","bias adalah ketidakseimbangan dalam data yang bisa membuat hasil AI tidak adil"
"apa itu NLP?","NLP adalah Natural Language Processing, AI yang memproses bahasa manusia"
"apa itu computer vision?","computer vision adalah kemampuan AI untuk mengenali dan memahami gambar"
"apa itu speech recognition?","speech recognition adalah teknologi untuk mengenali suara manusia"
"apa itu text to speech?","text to speech mengubah teks menjadi suara"
"apa itu voice assistant?","voice assistant adalah AI yang dapat berinteraksi melalui suara"
"apa itu autonomous car?","autonomous car adalah mobil yang bisa berjalan sendiri dengan AI"
"apa itu smart home?","smart home adalah rumah yang menggunakan perangkat otomatis dan AI"
"apa itu IoT?","IoT atau Internet of Things adalah konsep menghubungkan perangkat ke internet"
"apa itu sensor?","sensor adalah alat yang mendeteksi perubahan lingkungan seperti suhu atau cahaya"
"apa itu microcontroller?","microcontroller adalah chip kecil untuk mengontrol perangkat elektronik"
"apa itu Arduino?","Arduino adalah platform open source untuk membuat proyek elektronik"
"apa itu Raspberry Pi?","Raspberry Pi adalah komputer mini yang sering digunakan untuk belajar pemrograman"
"apa itu AI chip?","AI chip adalah prosesor khusus untuk mempercepat komputasi AI"
"apa itu GPU?","GPU adalah prosesor grafis yang juga dipakai untuk AI"
"apa itu CPU?","CPU adalah otak komputer yang menjalankan instruksi program"
"apa bedanya CPU dan GPU?","CPU untuk tugas umum, GPU untuk pemrosesan paralel"
"apa itu RAM?","RAM adalah memori sementara untuk menyimpan data saat program berjalan"
"apa itu ROM?","ROM menyimpan data permanen yang tidak bisa diubah dengan mudah"
"apa itu SSD?","SSD adalah media penyimpanan cepat untuk menggantikan harddisk"
"apa itu HDD?","HDD adalah media penyimpanan magnetik tradisional"
"apa itu cloud storage?","cloud storage adalah penyimpanan data online seperti Google Drive"
"apa itu blockchain?","blockchain adalah sistem penyimpanan data terdesentralisasi yang aman"
"apa itu cryptocurrency?","cryptocurrency adalah mata uang digital berbasis blockchain"
"apa itu bitcoin?","bitcoin adalah mata uang kripto pertama di dunia"
"apa itu smart contract?","smart contract adalah program otomatis di blockchain yang mengeksekusi perjanjian"
"apa itu cybersecurity?","cybersecurity adalah bidang yang melindungi sistem komputer dari serangan"
"apa itu hacking?","hacking adalah kegiatan mencari celah keamanan dalam sistem komputer"
"apa itu ethical hacking?","ethical hacking adalah hacking yang dilakukan dengan izin untuk tujuan keamanan"
"apa itu AI ethics?","AI ethics membahas tanggung jawab moral dalam pengembangan kecerdasan buatan"
"apa itu AGI?","AGI atau Artificial General Intelligence adalah AI yang bisa berpikir seperti manusia"
"apa itu ASI?","ASI atau Artificial Super Intelligence adalah AI yang lebih pintar dari manusia"
"apa itu dataset?","Kumpulan data yang digunakan untuk melatih atau menguji model AI."
"apa fungsi GPU dalam AI?","Untuk mempercepat proses komputasi matematis yang besar pada model AI."
"apa arti machine learning?","Cabang AI yang membuat komputer bisa belajar dari data tanpa diprogram secara eksplisit."
"apa bahasa pemrograman yang sering dipakai untuk AI?","Python, karena banyak pustaka AI seperti TensorFlow dan PyTorch."
"apa itu neural network?","Model komputasi yang terinspirasi dari jaringan saraf otak manusia."
"apa itu deep learning?","Bagian dari machine learning yang menggunakan jaringan saraf dalam dengan banyak lapisan."
"apa itu data training?","Data yang digunakan untuk melatih model agar bisa mengenali pola."
"apa itu data testing?","Data yang digunakan untuk menguji seberapa akurat model setelah dilatih."
"apa itu TensorFlow?","Framework open-source buatan Google untuk membuat dan melatih model AI."
"apa itu PyTorch?","Framework AI dari Meta yang mudah digunakan untuk riset dan eksperimen deep learning."
"apa itu API?","Application Programming Interface, jembatan untuk menghubungkan dua aplikasi atau sistem."
"apa fungsi AI di smartphone?","Untuk kamera pintar, asisten suara, prediksi teks, dan penghemat baterai."
"apa itu edge computing?","Pemrosesan data di dekat sumbernya, bukan di cloud, agar lebih cepat."
"apa itu cloud computing?","Layanan komputasi melalui internet seperti penyimpanan, server, dan AI."
"apa itu IoT?","Internet of Things, jaringan perangkat yang saling terhubung melalui internet."
"apa fungsi sensor di IoT?","Untuk mengumpulkan data lingkungan seperti suhu, cahaya, dan gerakan."
"apa itu big data?","Kumpulan data berukuran sangat besar yang dianalisis untuk menemukan pola."
"apa itu chatbot?","Program AI yang bisa berinteraksi dengan manusia melalui teks atau suara."
"apa contoh chatbot populer?","ChatGPT, Siri, Alexa, dan Google Assistant."
"apa itu NLP?","Natural Language Processing, bidang AI yang memproses bahasa manusia."
"apa itu computer vision?","Kemampuan AI untuk mengenali gambar dan video."
"apa itu reinforcement learning?","Metode AI yang belajar dari hasil tindakan (reward dan punishment)."
"apa itu supervised learning?","Model AI belajar dari data yang sudah diberi label."
"apa itu unsupervised learning?","Model AI belajar dari data tanpa label untuk menemukan pola tersembunyi."
"apa itu semi-supervised learning?","Gabungan antara data berlabel dan tidak berlabel untuk melatih model."
"apa itu overfitting?","Kondisi di mana model terlalu hafal data training dan gagal di data baru."
"apa itu underfitting?","Kondisi di mana model terlalu sederhana dan tidak bisa mengenali pola dengan baik."
"apa itu dataset imbalance?","Ketika data dalam satu kelas jauh lebih banyak dari kelas lain."
"apa itu model AI?","Struktur matematika yang dipakai AI untuk memprediksi hasil dari data."
"apa itu loss function?","Rumus yang mengukur seberapa jauh prediksi model dari hasil sebenarnya."
"apa itu optimizer?","Algoritma yang menyesuaikan bobot model agar hasilnya makin akurat."
"apa itu epoch?","Satu kali perulangan penuh model belajar dari seluruh dataset."
"apa itu batch size?","Jumlah data yang diproses model dalam satu kali update."
"apa itu learning rate?","Kecepatan model dalam memperbarui bobotnya saat belajar."
"apa itu GPU CUDA?","Teknologi NVIDIA untuk mempercepat pemrosesan paralel di GPU."
"apa itu parameter dalam model AI?","Nilai yang bisa diubah untuk membuat prediksi yang lebih tepat."
"apa itu hyperparameter?","Parameter yang ditentukan sebelum pelatihan dimulai, seperti learning rate."
"apa itu model transformer?","Arsitektur AI yang digunakan di ChatGPT, BERT, dan GPT-5."
"apa itu embedding?","Representasi numerik dari kata atau data untuk diproses AI."
"apa itu token dalam NLP?","Unit teks kecil seperti kata atau sub-kata yang diproses model bahasa."
"apa itu AI generatif?","Jenis AI yang bisa membuat konten baru seperti teks, gambar, atau musik."
"apa itu GAN?","Generative Adversarial Network, model AI yang bisa membuat gambar realistis."
"apa itu diffusion model?","Metode AI modern untuk membuat gambar realistis dari noise."
"apa itu prompt engineering?","Teknik membuat perintah (prompt) agar AI menghasilkan respons terbaik."
"apa itu model LLM?","Large Language Model, AI dengan miliaran parameter yang bisa memahami bahasa manusia."
"apa itu fine-tuning?","Melatih ulang model AI dengan data tambahan untuk hasil lebih spesifik."
"apa itu zero-shot learning?","Kemampuan AI memahami hal baru tanpa data pelatihan langsung."
"apa itu few-shot learning?","Kemampuan AI belajar dari hanya sedikit contoh."
"apa itu multimodal AI?","AI yang bisa memahami teks, gambar, suara, dan video secara bersamaan."
"apa itu open source?","Perangkat lunak yang kodenya bisa dilihat, dipelajari, dan diubah siapa saja."
"apa itu closed source?","Perangkat lunak yang kodenya tidak dibuka untuk umum."
"apa itu cloud storage?","Tempat menyimpan data di internet seperti Google Drive atau AWS."
"apa itu data center?","Fasilitas besar berisi server untuk menyimpan dan mengolah data."
"apa itu quantum computing?","Teknologi komputasi masa depan yang memakai prinsip fisika kuantum."
"apa itu blockchain?","Teknologi pencatatan terdistribusi yang aman dan transparan."
"apa itu smart contract?","Program otomatis yang berjalan di blockchain saat kondisi terpenuhi."
"apa itu NFT?","Token digital unik di blockchain yang mewakili kepemilikan aset digital."
"apa itu metaverse?","Dunia virtual yang imersif di mana pengguna bisa berinteraksi secara digital."
"apa itu AR?","Augmented Reality, teknologi yang menambahkan elemen digital ke dunia nyata."
"apa itu VR?","Virtual Reality, teknologi yang membawa pengguna masuk ke dunia digital sepenuhnya."
"apa itu mixed reality?","Gabungan AR dan VR yang menghubungkan dunia nyata dan virtual."
"apa itu GPU vs CPU?","GPU fokus ke paralel, CPU ke pemrosesan umum."
"apa itu firmware?","Perangkat lunak dasar yang tertanam di perangkat keras."
"apa itu driver?","Program yang menghubungkan sistem operasi dengan perangkat keras."
"apa itu kernel di OS?","Bagian utama sistem operasi yang mengatur sumber daya komputer."
"apa itu compiler?","Program yang mengubah kode sumber menjadi kode mesin."
"apa itu interpreter?","Program yang mengeksekusi kode baris demi baris tanpa kompilasi."
"apa itu syntax?","Aturan penulisan dalam bahasa pemrograman."
"apa itu debugging?","Proses mencari dan memperbaiki kesalahan dalam program."
"apa itu IDE?","Integrated Development Environment, alat untuk menulis dan menjalankan kode."
"apa itu version control?","Sistem untuk melacak perubahan kode, seperti Git."
"apa itu GitHub?","Platform untuk menyimpan dan berbagi kode proyek secara online."
"apa itu API key?","Kunci unik untuk mengakses layanan atau API tertentu."
"apa itu JSON?","Format data berbasis teks untuk pertukaran informasi antar sistem."
"apa itu XML?","Format data berbasis tag seperti HTML, tapi untuk penyimpanan data."
"apa itu REST API?","Gaya arsitektur API yang menggunakan HTTP untuk komunikasi data."
"apa itu websocket?","Protokol komunikasi dua arah antara client dan server secara real time."
"apa itu microservice?","Pendekatan membagi aplikasi besar menjadi layanan-layanan kecil."
"apa itu monolithic architecture?","Struktur aplikasi besar yang dibangun sebagai satu kesatuan."
"apa itu DevOps?","Budaya kerja yang menyatukan pengembangan (Dev) dan operasi (Ops)."
"apa itu CI/CD?","Continuous Integration dan Continuous Deployment untuk otomatisasi pengembangan."
"apa itu Docker?","Platform untuk menjalankan aplikasi dalam kontainer."
"apa itu Kubernetes?","Sistem untuk mengatur dan mengelola kontainer dalam skala besar."
"apa itu API rate limit?","Batas jumlah permintaan yang bisa dikirim ke API dalam waktu tertentu."
"apa itu caching?","Menyimpan data sementara agar akses lebih cepat."
"apa itu latency?","Waktu tunda antara permintaan dan respons sistem."
"apa itu encryption?","Proses mengubah data agar hanya bisa dibaca oleh pihak berwenang."
"apa itu decryption?","Mengembalikan data terenkripsi ke bentuk aslinya."
"apa itu AES?","Algoritma enkripsi yang sering digunakan untuk keamanan data."
"apa itu hashing?","Proses mengubah data menjadi nilai unik dengan panjang tetap."
"apa itu checksum?","Nilai verifikasi untuk memastikan data tidak berubah saat ditransfer."
"apa itu HTTP?","Protokol dasar komunikasi web antara client dan server."
"apa itu HTTPS?","Versi aman dari HTTP dengan enkripsi SSL/TLS."
"apa itu SSL?","Secure Sockets Layer, teknologi untuk mengamankan koneksi internet."
"apa itu TLS?","Penerus SSL yang lebih aman untuk enkripsi data online."
"apa itu domain?","Alamat unik untuk mengakses situs web."
"apa itu DNS?","Sistem yang menerjemahkan nama domain menjadi alamat IP."
"apa itu IP address?","Nomor unik untuk mengidentifikasi perangkat di jaringan."
"apa itu IPv4 dan IPv6?","Versi IP, IPv6 lebih baru dan mendukung lebih banyak alamat."
"apa itu VPN?","Virtual Private Network, jaringan pribadi yang melindungi koneksi internet."
"apa itu firewall?","Sistem keamanan yang menyaring lalu lintas jaringan."
"apa itu DDoS attack?","Serangan yang membanjiri server dengan permintaan palsu."
"apa itu malware?","Perangkat lunak berbahaya yang merusak sistem."
"apa itu antivirus?","Program untuk mendeteksi dan menghapus malware."
"apa itu AI security?","Cabang keamanan yang fokus melindungi sistem AI dari ancaman."
"apa warna langit?","biru"
"siapa presiden indonesia?","Presiden RI saat ini adalah Prabowo Subianto"
"berapa 1+1?","2"
"apa ibukota jepang?","Tokyo"
"berapa 2+2?","4"
"siapa penemu telepon?","Alexander Graham Bell"
"apa bahasa resmi di Prancis?","Perancis"
"siapa penulis Harry Potter?","J.K. Rowling"
"berapa 10 dikurangi 3?","7"
"apa ibukota Australia?","Canberra"
"apa hewan terbesar di dunia?","Paus Biru"
"siapa penemu listrik?","Benjamin Franklin"
"apa planet terdekat ke matahari?","Merkurius"
"berapa 5 x 5?","25"
"apa bahasa resmi di Jepang?","Jepang"
"siapa tokoh Proklamator Indonesia?","Soekarno dan Hatta"
"apa ibu kota Indonesia?","Jakarta"
"berapa 100 dibagi 4?","25"
"apa simbol kimia air?","H2O"
"siapa pencipta internet?","Tim Berners-Lee"
"apa warna daun?","hijau"
"berapa sisi segitiga?","3"
"siapa penemu lampu pijar?","Thomas Edison"
"apa ibu kota Amerika Serikat?","Washington D.C."
"apa hewan yang bisa terbang?","Burung"
"berapa 9+10?","19"
"siapa presiden Amerika Serikat saat ini?","Joe Biden"
"apa warna matahari?","kuning"
"apa ibu kota Inggris?","London"
"berapa 12 dikali 12?","144"
"apa ibukota Prancis?","Paris"
"siapa penulis novel 'Laskar Pelangi'?","Andrea Hirata"
"apa simbol kimia emas?","Au"
"berapa 7+8?","15"
"siapa penemu radio?","Guglielmo Marconi"
"apa ibu kota Korea Selatan?","Seoul"
